,,(in $),,,,,
Rank,Release Group,Worldwide,Domestic,Foreign,year,Domestic %,Foreign %
1805,A Separation,"2,29,26,076","70,99,055","1,58,27,021",2011,30.965,69.035
1806,Hot Road,"2,29,16,313",0,"2,29,16,313",2014,0.000,100.000
1807,Baggage Claim,"2,28,71,096","2,15,69,509","13,01,587",2013,94.309,5.691
1808,Qualunquemente,"2,28,62,029",0,"2,28,62,029",2011,0.000,100.000
1809,Won't You Be My Neighbor?,"2,28,44,741","2,28,35,787","8,954",2018,99.961,0.039
1810,Kon-Tiki,"2,28,42,887","15,17,410","2,13,25,477",2012,6.643,93.357
1811,The Knight of Shadows: Between Yin and Yang,"2,27,74,256",0,"2,27,74,256",2019,0.000,100.000
1812,Extraordinary Mission,"2,27,57,764","54,174","2,27,03,590",2017,0.238,99.762
1813,Black and Blue,"2,27,41,061","2,20,55,313","6,85,748",2019,96.985,3.015
1814,Fading Gigolo,"2,27,06,304","37,69,873","1,89,36,431",2014,16.603,83.397
1815,Fall in Love Like a Star,"2,26,40,355",0,"2,26,40,355",2012,0.000,100.000
1816,Friends: Naki on the Monster Island,"2,25,37,428",0,"2,25,37,428",2011,0.000,100.000
1817,Europe Raiders,"2,24,35,156",0,"2,24,35,156",2018,0.000,100.000
1818,Late Night,"2,23,86,555","1,54,99,454","68,87,101",2019,69.236,30.764
1819,Mojin: The Worm Valley,"2,23,81,583","1,01,516","2,22,80,067",2018,0.454,99.546
1820,Les Misérables,"2,23,42,519","3,30,181","2,20,12,338",2019,1.478,98.522
1821,Kamen Rider OOO Wonderful: The Shogun and the 21 Core Medals,"2,23,13,925",0,"2,23,13,925",2011,0.000,100.000
1822,Gooische vrouwen,"2,21,94,574",0,"2,21,94,574",2011,0.000,100.000
1823,Upside Down,"2,21,87,813","1,05,095","2,20,82,718",2012,0.474,99.526
1824,Unbowed,"2,21,32,903",0,"2,21,32,903",2012,0.000,100.000
1825,The Glass Castle,"2,20,88,533","1,72,73,059","48,15,474",2017,78.199,21.801
1826,Stree,"2,20,75,730",0,"2,20,75,730",2018,0.000,100.000
1827,Gretel & Hansel,"2,20,51,055","1,53,47,654","67,03,401",2020,69.601,30.399
1828,A Rainy Day in New York,"2,20,02,504",0,"2,20,02,504",2019,0.000,100.000
1829,Leap! 2017 Re-release,"2,19,29,861","2,18,58,070","71,791",2017,99.673,0.327
1830,The Immature,"2,18,58,834",0,"2,18,58,834",2011,0.000,100.000
1831,Pleasant Goat and Big Big Wolf 3,"2,18,47,806",0,"2,18,47,806",2011,0.000,100.000
1832,Poupelle of Chimney Town,"2,18,30,600",0,"2,18,30,600",2020,0.000,100.000
1833,Confession of Murder,"2,17,01,525",0,"2,17,01,525",2012,0.000,100.000
1834,StreetDance 2 2012 Re-release,"2,16,38,853",0,"2,16,38,853",2012,0.000,100.000
1835,Épouse-moi mon pote,"2,15,71,464",0,"2,15,71,464",2017,0.000,100.000
1836,Quick,"2,15,61,934",0,"2,15,61,934",2011,0.000,100.000
1837,2012 2012 Re-release,"2,15,38,353",0,"2,15,38,353",2012,0.000,100.000
1838,K-On! The Movie,"2,14,34,003",0,"2,14,34,003",2011,0.000,100.000
1839,Crazy Romance,"2,13,86,368",0,"2,13,86,368",2019,0.000,100.000
1840,Shaft,"2,13,60,215","2,13,60,215",0,2019,100.000,0.000
1841,Unplanned,"2,13,54,152","1,90,05,109","23,49,043",2019,89.000,11.000
1842,Hotel Mumbai,"2,13,14,816","96,51,611","1,16,63,205",2019,45.281,54.719
1843,Integrity,"2,12,90,004",0,"2,12,90,004",2019,0.000,100.000
1844,Stigmatized Properties,"2,12,76,720",0,"2,12,76,720",2020,0.000,100.000
1845,The Prison,"2,12,05,329","2,07,481","2,09,97,848",2017,0.978,99.022
1846,Red Dog,"2,11,85,162",0,"2,11,85,162",2011,0.000,100.000
1847,Beasts of the Southern Wild,"2,11,07,746","1,27,95,746","83,12,000",2012,60.621,39.379
1848,Pokémon the Movie: Secrets of the Jungle,"2,10,97,921",0,"2,10,97,921",2020,0.000,100.000
1849,The Secret Mission,"2,10,83,522",0,"2,10,83,522",2019,0.000,100.000
1850,Vicky and the Treasure of the Gods,"2,07,96,153",0,"2,07,96,153",2011,0.000,100.000
1851,The Photograph,"2,06,90,779","2,05,78,185","1,12,594",2020,99.456,0.544
1852,The Front Line,"2,06,29,645","11,018","2,06,18,627",2011,0.053,99.947
1853,Polisse,"2,05,90,872","2,11,440","2,03,79,432",2011,1.027,98.973
1854,Hollywoo,"2,05,87,850",0,"2,05,87,850",2011,0.000,100.000
1855,Yarn,"2,04,74,270",0,"2,04,74,270",2020,0.000,100.000
1856,One Hundred Thousand Bad Jokes 2,"2,04,60,352",0,"2,04,60,352",2017,0.000,100.000
1857,Violet Evergarden: The Movie,"2,03,39,624",0,"2,03,39,624",2020,0.000,100.000
1858,Brahms: The Boy II,"2,03,11,536","1,26,11,536","77,00,000",2020,62.091,37.909
1859,Scabbard Samurai,"2,02,51,745",0,"2,02,51,745",2011,0.000,100.000
1860,This Is Tomas,"2,00,84,169",0,"2,00,84,169",2019,0.000,100.000
1861,Kaiji 2: The Ultimate Gambler,"1,99,71,259",0,"1,99,71,259",2011,0.000,100.000
1862,Ice 2,"1,97,88,995",0,"1,97,88,995",2020,0.000,100.000
1863,Soul Snatcher,"1,95,61,221",0,"1,95,61,221",2020,0.000,100.000
1864,The Turning,"1,94,28,166","1,54,72,775","39,55,391",2020,79.641,20.359
1865,The Specials,"1,93,63,826",0,"1,93,63,826",2019,0.000,100.000
1866,Fate/Stay Night: Heaven's Feel - III. Spring Song,"1,92,52,497","2,00,000","1,90,52,497",2020,1.039,98.961
1867,Always Miss You,"1,90,15,465","91,884","1,89,23,581",2019,0.483,99.517
1868,An Officer and a Spy,"1,88,78,658",0,"1,88,78,658",2019,0.000,100.000
1869,Crayon Shin-chan: Honeymoon Hurricane - The Lost Hiroshi,"1,87,38,951",0,"1,87,38,951",2019,0.000,100.000
1870,Greta,"1,86,53,107","1,05,32,219","81,20,888",2019,56.464,43.536
1871,Peppa Celebrates Chinese New Year,"1,86,53,040","1,31,225","1,85,21,815",2019,0.704,99.296
1872,Takizawa Enbujo Zero,"1,80,91,395",0,"1,80,91,395",2020,0.000,100.000
1873,The Promised Neverland,"1,76,98,106",0,"1,76,98,106",2020,0.000,100.000
1874,Kaiji: Final Game,"1,76,45,779",0,"1,76,45,779",2020,0.000,100.000
1875,Hitman: Agent Jun,"1,76,01,351",0,"1,76,01,351",2020,0.000,100.000
1876,Promising Young Woman,"1,71,35,557","64,60,965","1,06,74,592",2020,37.705,62.295
1877,Digimon Adventure: Last Evolution Kizuna,"1,70,96,687",0,"1,70,96,687",2020,0.000,100.000
1878,Bye Bye Morons,"1,69,55,173",0,"1,69,55,173",2020,0.000,100.000
1879,Baaghi 3,"1,67,26,510","7,21,439","1,60,05,071",2020,4.313,95.687
1880,I Still Believe,"1,60,64,280","98,68,521","61,95,759",2020,61.431,38.569
1881,Freaky,"1,59,20,855","90,30,855","68,90,000",2020,56.723,43.277
1882,Padre no hay más que uno 2: La llegada de la suegra,"1,53,73,181",0,"1,53,73,181",2020,0.000,100.000
1883,The Way Back,"1,46,90,514","1,35,90,514","11,00,000",2020,92.512,7.488
1884,The Personal History of David Copperfield,"1,43,99,270","18,76,298","1,25,22,972",2020,13.031,86.969
1885,Nightlife,"1,43,08,789",0,"1,43,08,789",2020,0.000,100.000
1886,Pawn,"1,41,93,957",0,"1,41,93,957",2020,0.000,100.000
1887,#Alive,"1,34,32,212",0,"1,34,32,212",2020,0.000,100.000
1888,Howling Village,"1,33,94,556",0,"1,33,94,556",2020,0.000,100.000
1889,Come Play,"1,31,82,254","1,04,75,990","27,06,264",2020,79.470,20.530
1890,Samjin Company English Class,"1,27,61,386",0,"1,27,61,386",2020,0.000,100.000
1891,News of the World,"1,26,68,325","1,26,68,325",0,2020,100.000,0.000
1892,Collectors,"1,26,40,113",0,"1,26,40,113",2020,0.000,100.000
1893,Another Round,"1,24,75,919",0,"1,24,75,919",2020,0.000,100.000
1894,Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,"1,22,21,804",0,"1,22,21,804",2020,0.000,100.000
1895,Ducobu 3,"1,21,57,793",0,"1,21,57,793",2020,0.000,100.000
1896,Legend No. 17,"1,18,11,335",0,"1,18,11,335",2020,0.000,100.000
1897,Wotakoi: Love Is Hard for Otaku,"1,17,02,371",0,"1,17,02,371",2020,0.000,100.000
1898,Let Him Go,"1,16,30,934","93,58,025","22,72,909",2020,80.458,19.542
1899,The Hunt,"1,14,81,750","58,12,500","56,69,250",2020,50.624,49.376
1900,The Voice of Sin,"1,09,83,063",0,"1,09,83,063",2020,0.000,100.000
1901,30 jours max,"1,09,82,693",0,"1,09,82,693",2020,0.000,100.000
1902,Bigfoot Family,"1,07,98,771",0,"1,07,98,771",2020,0.000,100.000
1903,Me contro Te - Il film: La vendetta del Signor S,"1,07,79,891",0,"1,07,79,891",2020,0.000,100.000
1904,Impractical Jokers: The Movie,"1,06,91,091","1,06,91,091",0,2020,100.000,0.000
1905,One Second,"1,06,29,463",0,"1,06,29,463",2020,0.000,100.000
1906,Honest Candidate,"1,05,97,464",0,"1,05,97,464",2020,0.000,100.000
1907,Street Dancer 3D,"1,03,39,127",0,"1,03,39,127",2020,0.000,100.000
1908,My Spy,"1,02,00,000",0,"1,02,00,000",2020,0.000,100.000
1909,The Asadas,"1,00,66,797",0,"1,00,66,797",2020,0.000,100.000
1910,Beauty and the Beast 2020 Re-release,"1,00,55,094","4,67,000","95,88,094",2020,4.644,95.356
1911,Stolen Identity 2,"96,87,188",0,"96,87,188",2020,0.000,100.000
1912,10 Days with Dad,"94,72,077","2,359","94,69,718",2020,0.025,99.975
1913,Secret Zoo,"94,71,940",0,"94,71,940",2020,0.000,100.000
1914,365 Days,"94,58,590",0,"94,58,590",2020,0.000,100.000
1915,Okay Madam,"94,33,525",0,"94,33,525",2020,0.000,100.000
1916,L'appel de la forêt,"93,17,347",0,"93,17,347",2020,0.000,100.000
1917,Inception 10th Anniversary re-release,"91,00,000",0,"91,00,000",2020,0.000,100.000
1918,100% Wolf,"89,83,607","6,58,764","83,24,843",2020,7.333,92.667
1919,Malasaña 32,"89,68,845",0,"89,68,845",2020,0.000,100.000
1920,Break the Silence: The Movie,"89,54,345",0,"89,54,345",2020,0.000,100.000
1921,The Closet,"89,48,595",0,"89,48,595",2020,0.000,100.000
1922,I Hate Summer,"89,26,071",0,"89,26,071",2020,0.000,100.000
1923,Downhill,"88,99,195","82,87,061","6,12,134",2020,93.121,6.879
1924,Les blagues de Toto,"88,59,185",0,"88,59,185",2020,0.000,100.000
1925,The Secret Garden,"87,21,243",0,"87,21,243",2020,0.000,100.000
1926,Eltilerin Savasi,"86,13,864",0,"86,13,864",2020,0.000,100.000
1927,Malang,"83,99,765",0,"83,99,765",2020,0.000,100.000
1928,Your Eyes Tell,"80,20,474",0,"80,20,474",2020,0.000,100.000
1929,AI Amok,"79,32,191",0,"79,32,191",2020,0.000,100.000
1930,The Lost Prince,"78,37,980",0,"78,37,980",2020,0.000,100.000
1931,Antoinette dans les Cévennes,"77,90,369",0,"77,90,369",2020,0.000,100.000
1932,The Marriage Escape,"77,60,946",0,"77,60,946",2020,0.000,100.000
1933,Spirited Away Studio Ghibli Fest 2020,"77,32,435",0,"77,32,435",2020,0.000,100.000
1934,Smack Dab Kakha,"76,92,780",0,"76,92,780",2020,0.000,100.000
1935,Two by Two: Overboard!,"76,82,182",0,"76,82,182",2020,0.000,100.000
1936,Princess Mononoke Studio Ghibli Fest 2020,"76,73,207",0,"76,73,207",2020,0.000,100.000
1937,The Heist of the Century,"76,27,100",0,"76,27,100",2020,0.000,100.000
1938,De Gaulle,"74,98,168",0,"74,98,168",2020,0.000,100.000
1939,Fukushima 50,"74,94,243",0,"74,94,243",2020,0.000,100.000
1940,Bohemian Rhapsody 2020 Re-release,"74,45,468","2,40,000","72,05,468",2020,3.223,96.777
1941,"Turu, the Wacky Hen","74,16,960",0,"74,16,960",2020,0.000,100.000
1942,Mamma Mia! Here We Go Again 2020 Re-release,"72,09,678",0,"72,09,678",2020,0.000,100.000
1943,The (UN)perfect Guy,"71,54,649",0,"71,54,649",2020,0.000,100.000
1944,Back to the Wharf,"70,90,000",0,"70,90,000",2020,0.000,100.000
1945,Adu,"70,85,946",0,"70,85,946",2020,0.000,100.000
1946,Antebellum,"70,60,384",0,"70,60,384",2020,0.000,100.000
1947,The Best Years,"70,49,295",0,"70,49,295",2020,0.000,100.000
1948,Fatale,"70,31,289","63,06,897","7,24,392",2020,89.698,10.302
1949,Spycies,"70,30,092",0,"70,30,092",2020,0.000,100.000
1950,Jim Button and the Wild 13,"69,23,076",0,"69,23,076",2020,0.000,100.000
1951,Psy 3: W imie zasad,"67,25,146",0,"67,25,146",2020,0.000,100.000
1952,Blood Moon Party,"67,09,383",0,"67,09,383",2020,0.000,100.000
1953,Dragon Rider,"66,61,040",0,"66,61,040",2020,0.000,100.000
1954,Innocence,"66,59,968",0,"66,59,968",2020,0.000,100.000
1955,Shubh Mangal Zyada Saavdhan,"65,74,905",0,"65,74,905",2020,0.000,100.000
1956,Chhapaak,"65,32,100","6,04,334","59,27,766",2020,9.252,90.748
1957,"Love Me, Love Me Not","64,94,241",0,"64,94,241",2020,0.000,100.000
1958,Hammamet,"64,34,874",0,"64,34,874",2020,0.000,100.000
1959,Lindenberg! Mach dein Ding,"64,04,964",0,"64,04,964",2020,0.000,100.000
1960,Midnight Swan,"63,97,065",0,"63,97,065",2020,0.000,100.000
1961,Nausicaä of the Valley of the Wind 2020 Re-release,"63,95,525",0,"63,95,525",2020,0.000,100.000
1962,Simply Black,"63,23,750",0,"63,23,750",2020,0.000,100.000
1963,My Boyfriend's Meds,"62,92,780","29,71,116","33,21,664",2020,47.215,52.785
1964,Bill & Ted Face the Music,"62,74,027","34,39,660","28,34,367",2020,54.824,45.176
1965,Hotel Belgrade,"61,99,413",0,"61,99,413",2020,0.000,100.000
1966,How to Be a Good Wife,"60,29,102",0,"60,29,102",2020,0.000,100.000
1967,The Legacy Of Dr. Death: Black File,"60,24,046",0,"60,24,046",2020,0.000,100.000
1968,The Rhythm Section,"59,89,583","54,37,971","5,51,612",2020,90.790,9.210
1969,Jak zostalem gangsterem. Historia prawdziwa,"59,75,729",0,"59,75,729",2020,0.000,100.000
1970,The Lion King 2020 Re-release,"59,48,352",0,"59,48,352",2020,0.000,100.000
1971,Twiceborn,"58,80,157","11,527","58,68,630",2020,0.196,99.804
1972,The Royal Bride,"58,30,719",0,"58,30,719",2020,0.000,100.000
1973,Beasts Clawing at Straws,"57,96,059",0,"57,96,059",2020,0.000,100.000
1974,Last Letter,"56,63,972",0,"56,63,972",2020,0.000,100.000
1975,Yowamushi Pedal: The Movie 2020 Re-release,"56,24,218",0,"56,24,218",2020,0.000,100.000
1976,Hocus Pocus 2020 Re-release,"56,09,193","48,28,000","7,81,193",2020,86.073,13.927
1977,Klassikokkutulek 2: Pulmad ja matused,"55,43,147",0,"55,43,147",2020,0.000,100.000
1978,Mama Weed,"54,08,390","29,151","53,79,239",2020,0.539,99.461
1979,Divorce Club,"53,16,313",0,"53,16,313",2020,0.000,100.000
1980,Cindy La Regia,"52,22,322",0,"52,22,322",2020,0.000,100.000
1981,Run,"51,84,368",0,"51,84,368",2020,0.000,100.000
1982,Love Aaj Kal,"51,20,794",0,"51,20,794",2020,0.000,100.000
1983,Masked Ward,"51,07,013",0,"51,07,013",2020,0.000,100.000
1984,Ayyappanum Koshiyum,"50,88,713",0,"50,88,713",2020,0.000,100.000
1985,Baba Parasi,"50,84,342",0,"50,84,342",2020,0.000,100.000
1986,Die Känguru-Chroniken,"50,81,127",0,"50,81,127",2020,0.000,100.000
1987,The Real Exorcist,"50,35,830",0,"50,35,830",2020,0.000,100.000
1988,Mayday,"50,11,408",0,"50,11,408",2020,0.000,100.000
1989,Bheeshma,"49,97,080",0,"49,97,080",2020,0.000,100.000
1990,Made in Abyss: Dawn of the Deep Soul,"49,71,635",0,"49,71,635",2020,0.000,100.000
1991,Godai - The Wunderkind,"49,48,225",0,"49,48,225",2020,0.000,100.000
1992,Military Wives,"48,89,252",0,"48,89,252",2020,0.000,100.000
1993,Panga,"48,86,124","5,82,720","43,03,404",2020,11.926,88.074
1994,The Tales for Old and Young,"48,53,143",0,"48,53,143",2020,0.000,100.000
1995,Streltsov,"48,50,073",0,"48,50,073",2020,0.000,100.000
1996,The SpongeBob Movie: Sponge on the Run,"48,10,790","48,10,790",0,2020,100.000,0.000
1997,The Empty Man,"47,96,993","29,92,948","18,04,045",2020,62.392,37.608
1998,The Vets,"47,88,826",0,"47,88,826",2020,0.000,100.000
1999,The Broken Hearts Gallery,"47,81,389","40,67,442","7,13,947",2020,85.068,14.932
2000,Gladiator 20th Anniversary,"47,80,585",0,"47,80,585",2020,0.000,100.000
